marker-color,marker-size,marker-symbol,project-name,state-region,,basin,sub-basin,rivers,status,installed-capacity(MW),generation(GWh/yr),height(M),total-storage(hm),reservoir-area(hm),reservoir-length(km),retention-period(days),Type (#),Export %,stage,date-signed,foreign-developer,local-developer,country-of-foreing-developer,year,lon,lat
#000000,small,dam,Kyeeon Kyeewa,Magway,,,,,Existing,74,370,50,571,33,30,- ,,,E,,,,MoALI,2012,94.416,20.331
#000000,small,dam,Mindon,Magway,,,,,Identified Potential Site,18,NP ,NP ,NP ,NP ,NP ,NP ,NP ,NP ,,,,,,,94.712866,19.37089
#ff80c0,large,dam,Naopha,Shan,NP ,Thanlwin,Thanlwin Mainstem,Thanlwin Mainstem,Identified Potential Site,"1,200","6,182",90,813,23.37,1,ROR ,110,50%,MoA ,22/05/14 ,HydroChina ,IGOEC ,PRC ,2026,98.499151,22.987464
#ff0000,medium,dam,Mantong,Shan,  ?  ,Thanlwin,Nam Ma,Nam Ma,Planned,225,936,109,1215,10.46,146,S ,NP ,50%,MoA ,22/05/14 ,HydroChina ,IGOEC ,PRC ,2024,98.55727,22.97469
#ff0000,medium,dam,Nam Hka,Shan,? ,Thanlwin,Nam Hka,Nam Hka,Planned,210,937,120,450,75.15,NP,NP ,73-85,0%,MOU ,27/9/07 ,YNIC ,- ,PRC ,2025,98.950044,21.733821
#ff0000,large,dam,Mong Ton,Shan,NP ,Thanlwin,Thanlwin Mainstem,Thanlwin Mainstem,Planned,"7,000","34,700",241,"37,887",870,150,S ,~380 ,90%,MoU ,10/11/2010,Three Gorges/ ,- ,PRC/THA ,2030,98.65,20.456389
#ff0000,small,dam,Nam Pawn (Lower),Kayah,(*) ,Thanlwin,Nam Pawn,Nam Pawn,Planned,105,,NP ,88  526  NP ,NP ,NP ,36,- ,0%,MoU ,27/10/15 ,TEI ,HTCT ,Singapore ,2020,97.408611,19.555
#ff0000,small,dam,Hpi Hseng,Shan,(*) ,Thanlwin,Nam Pawn,Nam Pawn,Planned,45,,NP ,10  4  NP ,NP ,ROR ,<1 ,8,0%,MoU ,27/10/15 ,TEI ,HTCT ,Singapore ,2020,97.43497,20.118443
#ff0000,small,dam,Hpak Nam,Shan,(*) ,Thanlwin,Nam Pawn,Nam Pawn,Planned,105,,NP ,20  20  NP ,NP ,ROR ,<1 ,7,0%,MoU ,27/10/15 ,TEI ,HTCT ,Singapore ,2020,97.456152,20.209251
#ff0000,small,dam,Nam Pawn (Upper),Shan,(*) ,Thanlwin,Nam Pawn,Nam Pawn,Cancel,150,,NP ,10  7  NP ,NP ,ROR ,<1 ,14,0%,MoU ,27/10/15 ,TEI ,HTCT ,Singapore ,2020,97.437368,20.062121
#ff0000,large,dam,Ywathit,Kayah,NP ,Thanlwin,Thanlwin Mainstem,Thanlwin Mainstem,Planned,"4,000","25,519",51,"7,401",43.47,11,S ,~130 ,NP ,MoA ,18/01/11 ,CDOI ,STH ,PRC ,2030,97.521257,19.131059
#ff0000,small,dam,Hawkham (Upper),Kayah,(*) ,Thanlwin,Nam Pawn,Nam Pawn,Cancel,180,,NP ,NP ,NP ,NP ,29,- ,0%,MoU ,27/10/15 ,TEI ,HTCT ,Singapore ,2020,97.399722,19.211667
#ff0000,large,dam,Hutgyi,Kayin,NP ,Thanlwin,Thanlwin Mainstem,Thanlwin Mainstem,Planned,"1,360","7,325",118,509,NP ,0.5,ROR ,16,90%,MoA ,24/04/10 ,Sinohydro/ EGATi ,IGOEC ,PRC/THA ,2020,97.747,17.528
#000000,small,dam,Baluchaung 1,Kayah,,Thanlwin,Nam Pawn,Baluchaung,Existing,28,200,11,2,0,0.2,10.3,,,,,,,MoEE,1992,97.28552341,19.64877137
#000000,small,dam,Baluchaung 2,Kayah,,Thanlwin,Nam Pawn,Baluchaung,Existing,168,"1,190",-,-,-,-,7.1,,,,,,,MoEE,1974,97.31421232,19.57310407
#000000,small,dam,Baluchaung 3,Kayah,,Thanlwin,Nam Pawn,Baluchaung,Existing,52,334,i ,- ,- ,- ,5.1,,,,,,,Future Energy,2014,97.35693991,19.55820796
#008080,small,dam,Baluchaung (Upper),Shan,,Thanlwin,Nam Pawn,Baluchaung,Under Construction,30,90,35,2.2,9.7,NP ,3,,,,,,,NeoEnergy Oasis,2020,96.781918,20.484592
#ff80c0,small,dam,Yunsalin,Kayin,,Thanlwin,Yunzalin,,Identified Potential Site,,,,,,,,,,,,,,,,97.34081,18.29496
#808080,medium,dam,Weigyi,Kayin,,Thanlwin,,,Cancel,,,,,,,,,,,,,,,,97.6099205,18.23636218
#808080,medium,dam,Dagwin,Kayin,,Thanlwin,,,Cancel,,,,,,,,,,,,,,,,97.6803875,18.06998263
#ff80c0,small,dam,Myet Taw Chaung,Kayin,,Thanlwin,Myet Taw Chaung,Myet Taw Chaung,Identified Potential Site,,,,,,,,,,,,,,,,97.915769,15.682011
#ff80c0,small,dam,Lam Pha,Kayin,,Thanlwin,Lam Pha,Lam Pha,Identified Potential Site,,,,,,,,,,,,,,,,98.348758,16.305021
#000000,small,dam,Shwegyin,Bago,,Sittaung,Other Sittaung,Shwegyin River,Existing,75,262,57,"2,080",59,- ,,,,,,,,MoEE,2011,96.935001,17.970227
#ff0000,small,dam,Bawgata,Bago,n.a. ,Sittaung,Bawgata,Bawgata,Planned,160,500,80,835,19,,NP , ,0%,Local MoU,18/02/16 ,,Thoolei,Thoolei ,2020,96.848496,18.255561
#000000,small,dam,Yenwe,Bago,,Sittaung,Other Sittaung,Ye Nwe Chaung,Existing,25,123,77,NP ,77,- ,,,,,,,,MoEE/MoALI,2007,96.446152,18.085211
#000000,small,dam,Kun Chaung,Bago (East),,,,,Existing,60,190,73,"1,468",~150 ,2.9,,,,,,,,MoEE,2012,96.33087158,18.40795774
#000000,small,dam,Phyu Chaung,Bago,,Sittaung,Other Sittaung,Pyu Chaung,Existing,40,120,75,780,,,,,,,,,,MoEE/MoALI,2015,96.351028,18.506214
